block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t1,1,B,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,2,5,target,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,3,L,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,4,P,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,5,E,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,6,P,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,7, ,mask,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,8,R,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,9,I,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,10,U,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,11,S,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,12,E,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,13,M,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,14,V,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
1,short,t1,15,O,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,0,0,0,0,,,,,5,0.0999026423669,5,0.166290100664,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,1,G,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,2,D,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,3,O,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,4,Y,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,5,B,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,6,O,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,7,D,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,8,1,target,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,9,X,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,10,K,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,11,D,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,12,F,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,13, ,mask,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,14,E,distractor,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
2,short,t1,15,U,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,1,0,1,0,,,,,1,0.0508325341507,1,0.167901738605,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,1,H,distractor,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,2,U,distractor,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,3,I,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,4,E,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,5,V,distractor,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,6,V,distractor,0,0,0,0,2,0,2,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,7,B,distractor,0,0,0,0,2,0,2,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,8,3,target,0,0,0,0,2,0,2,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,9,Q,distractor,0,0,0,0,2,0,2,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,10,X,distractor,0,0,0,0,2,0,2,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,11,Q,distractor,0,0,0,0,2,0,2,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,12,U,distractor,0,0,0,0,2,0,2,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,13, ,mask,0,0,0,0,2,0,2,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,14,F,distractor,0,0,0,0,2,0,2,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,15,M,distractor,0,0,0,0,2,0,2,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
3,short,t1,16,B,distractor,0,0,0,0,2,0,2,0,0,15,15,15,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,2,0,2,0,,,,,3,0.0839700208162,3,0.183541996172,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,1,F,distractor,0,0,0,0,3,0,3,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,2,C,distractor,0,0,0,0,3,0,3,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,3,Q,distractor,0,0,0,0,3,0,3,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,4,M,distractor,0,0,0,0,3,0,3,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,5,Q,distractor,0,0,0,0,3,0,3,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,6,M,distractor,0,0,0,0,3,0,3,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,7,L,distractor,0,0,0,0,3,0,3,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,8,Y,distractor,0,0,0,0,3,0,3,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,9,F,distractor,0,0,0,0,3,0,3,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,10,C,distractor,0,0,0,0,3,0,3,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,11,2,target,0,0,0,0,3,0,3,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,12,K,distractor,0,0,0,0,3,0,3,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,13,N,distractor,0,0,0,0,3,0,3,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,14,J,distractor,0,0,0,0,3,0,3,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,15,Z,distractor,0,0,0,0,3,0,3,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,16, ,mask,0,0,0,0,3,0,3,0,0,15,15,15,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,17,J,distractor,0,0,0,0,3,0,3,0,0,16,16,16,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
4,short,t1,18,K,distractor,0,0,0,0,3,0,3,0,0,17,17,17,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,3,0,3,0,,,,,2,0.206400200143,2,1.78948246257,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,0,0,0,0,,,,,,,,,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,1,H,distractor,1,0,1,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,2,Z,distractor,1,0,1,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,3,6,target,1,0,1,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,4,L,distractor,1,0,1,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,5,V,distractor,1,0,1,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,6,V,distractor,1,0,1,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,7,V,distractor,1,0,1,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,8, ,mask,1,0,1,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,9,W,distractor,1,0,1,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,10,O,distractor,1,0,1,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,11,V,distractor,1,0,1,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,12,M,distractor,1,0,1,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,13,W,distractor,1,0,1,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,14,C,distractor,1,0,1,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,15,A,distractor,1,0,1,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
5,short,t1,16,O,distractor,1,0,1,0,0,0,0,0,0,15,15,15,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,1,0,1,0,0,0,0,0,,,,,6,1.13419116038,6,0.167618101928,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,1,N,distractor,1,0,1,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,2,6,target,1,0,1,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,3,K,distractor,1,0,1,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,4,S,distractor,1,0,1,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,5,K,distractor,1,0,1,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,6,L,distractor,1,0,1,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,7,R,distractor,1,0,1,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,8,I,distractor,1,0,1,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,9,Y,distractor,1,0,1,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,10,M,distractor,1,0,1,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,11,3,target,1,0,1,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,12,U,distractor,1,0,1,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,13,P,distractor,1,0,1,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,14,Z,distractor,1,0,1,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,15,Y,distractor,1,0,1,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,16,A,distractor,1,0,1,0,1,0,1,0,0,15,15,15,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
6,long,t2,17,S,distractor,1,0,1,0,1,0,1,0,0,16,16,16,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,1,0,1,0,1,0,1,0,,,,,6,0.417174707574,3,0.100674521876,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,1,1,target,1,0,1,0,2,0,2,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,2,Z,distractor,1,0,1,0,2,0,2,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,3,L,distractor,1,0,1,0,2,0,2,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,4,N,distractor,1,0,1,0,2,0,2,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,5,F,distractor,1,0,1,0,2,0,2,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,6,Y,distractor,1,0,1,0,2,0,2,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,7,Y,distractor,1,0,1,0,2,0,2,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,8,E,distractor,1,0,1,0,2,0,2,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,9,V,distractor,1,0,1,0,2,0,2,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,10,1,target,1,0,1,0,2,0,2,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,11,T,distractor,1,0,1,0,2,0,2,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,12,Z,distractor,1,0,1,0,2,0,2,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,13,J,distractor,1,0,1,0,2,0,2,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,14,H,distractor,1,0,1,0,2,0,2,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
7,long,t2,15,S,distractor,1,0,1,0,2,0,2,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,1,0,1,0,2,0,2,0,,,,,1,0.350480339839,1,0.167871677957,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,1,U,distractor,1,0,1,0,3,0,3,0,0,0,0,0,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,2,S,distractor,1,0,1,0,3,0,3,0,0,1,1,1,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,3,E,distractor,1,0,1,0,3,0,3,0,0,2,2,2,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,4,4,target,1,0,1,0,3,0,3,0,0,3,3,3,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,5,Z,distractor,1,0,1,0,3,0,3,0,0,4,4,4,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,6,M,distractor,1,0,1,0,3,0,3,0,0,5,5,5,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,7,P,distractor,1,0,1,0,3,0,3,0,0,6,6,6,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,8,R,distractor,1,0,1,0,3,0,3,0,0,7,7,7,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,9, ,mask,1,0,1,0,3,0,3,0,0,8,8,8,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,10,J,distractor,1,0,1,0,3,0,3,0,0,9,9,9,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,11,F,distractor,1,0,1,0,3,0,3,0,0,10,10,10,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,12,T,distractor,1,0,1,0,3,0,3,0,0,11,11,11,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,13,V,distractor,1,0,1,0,3,0,3,0,0,12,12,12,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,14,D,distractor,1,0,1,0,3,0,3,0,0,13,13,13,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,15,O,distractor,1,0,1,0,3,0,3,0,0,14,14,14,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,16,G,distractor,1,0,1,0,3,0,3,0,0,15,15,15,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,17,H,distractor,1,0,1,0,3,0,3,0,0,16,16,16,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
8,short,t1,18,N,distractor,1,0,1,0,3,0,3,0,0,17,17,17,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,1,0,1,0,3,0,3,0,,,,,2,0.868079387234,2,0.151289358851,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
,,,,,,1,0,1,0,,,,,,,,,,,,,2018_Oct_17_1615,10,rsvp,r,60.0060515202,
